exp,seed,model,bal_soglia_attuale,bal_soglia_oracolo,roc_auc_target,roc_auc_source,rec_normal_attuale,rec_attack_attuale,thr_oracolo,thr_attuale,fit_seconds,bal_prior,bal_mediana,bal_quantile
bot->ton,46,XGBoost,0.663145181721652,0.7202553264656024,0.6709261783498817,0.9999512150099548,0.553,0.7732903634433039,0.04877413064241409,0.5,1.9,0.5341335814037245,0.7154782436988878,0.5
bot->ton,46,MLP(16),0.7380231181734072,0.7450497088976236,0.5947552938656135,0.9995625173054863,0.55428,0.9217662363468142,0.5643439188524925,0.5,3.0,0.5046969741621803,0.7360353275833162,0.5
bot->ton,47,"KAN(cat,1L)",0.6087325486981737,0.8257294502710456,0.8305593773091657,0.9991848072113886,0.97376,0.24370509739634755,-2.2239659479648557,0.0,3.2,0.5600766486590538,0.50437,0.5613762106393945
bot->ton,47,"KAN(cat,ML)",0.6278917141384599,0.6522070938196631,0.6078559574151003,0.99995552215322,0.81048,0.4453034282769198,-0.3813679703937889,0.0,21.7,0.5236816781853294,0.5,0.5
bot->ton,47,DecisionTree(d=5),0.44715048310078676,0.7348814760653988,0.657311154536366,0.9998027504186281,0.8235,0.07080096620157349,0.07766990291262142,0.5,0.1,0.5,0.5,0.5
bot->ton,47,LightGBM,0.8105094046310612,0.8282606534900616,0.8050880775320877,0.99995789547706,0.8147,0.8063188092621225,0.24055432190650386,0.5,2.4,0.5216308021460107,0.7922440053898648,0.5
bot->ton,47,XGBoost,0.5543508384096173,0.6708446832833467,0.6567558380680938,0.9999548189461563,0.55498,0.5537216768192346,0.11007087677717209,0.5,1.6,0.5238970679259577,0.6324712110430133,0.5
bot->ton,47,MLP(16),0.7506905673019008,0.7522569108871544,0.6153200824003526,0.9998508322016094,0.58842,0.9129611346038015,0.5644611867324782,0.5,3.1,0.5074816980557988,0.7507865291257614,0.5
bot->ton,48,"KAN(cat,1L)",0.5512176487646157,0.8296846508075483,0.7734945661717677,0.9992282302475729,0.83134,0.27109529752923134,-1.7746697185377562,0.0,3.4,0.5303054692225058,0.5159785143719379,0.5255771633663059
bot->ton,48,"KAN(cat,ML)",0.6417831472339686,0.7704401630620393,0.8030560158466994,0.9999529290771725,0.53132,0.7522462944679371,1.669741573895728,0.0,21.5,0.5432175241395155,0.5362361527045572,0.5
bot->ton,48,DecisionTree(d=5),0.4654943441192725,0.5452482698409742,0.520326024602125,0.999122793138457,0.82724,0.10374868823854498,0.06771344455348391,0.5,0.1,0.5,0.5,0.5
bot->ton,48,LightGBM,0.6720529568500339,0.7851581314307359,0.7382226522109002,0.9999564011620496,0.81462,0.5294859137000677,0.02240148537382443,0.5,2.5,0.5333562867681303,0.5,0.5
bot->ton,48,XGBoost,0.6506066357432487,0.6709470684848146,0.6825090849648852,0.9999547310452733,0.45416,0.8470532714864974,0.013255376368761063,0.5,1.8,0.513132800245897,0.6613584396092969,0.5
bot->ton,48,MLP(16),0.7423266041367833,0.746160478008979,0.6010583221872419,0.9999270422671396,0.56434,0.9203132082735667,0.8594186494713764,0.5,3.2,0.4924380609526648,0.7423369660277068,0.5
bot->ton,49,"KAN(cat,1L)",0.6968267652117758,0.8325510291040281,0.8598622271691411,0.9994042957161504,0.9685,0.4251535304235515,-1.8673910079123421,0.0,3.1,0.5592352391597275,0.5104451238489099,0.5558728581807343
bot->ton,49,"KAN(cat,ML)",0.6929025793111157,0.7991918930968748,0.8142129792043119,0.9999545991939488,0.76512,0.6206851586222313,-1.3060532629283748,0.0,21.5,0.5433244193786753,0.50003,0.5
bot->ton,49,DecisionTree(d=5),0.4509527107045944,0.7413916476344827,0.6621552795216186,0.9997570419594864,0.82546,0.07644542140918885,0.06890130353817515,0.5,0.2,0.5,0.5,0.5
bot->ton,49,LightGBM,0.6783346896170588,0.8077238637506752,0.7710756894121445,0.999952973027614,0.82388,0.5327893792341176,0.11009892424240418,0.5,2.5,0.5407568764864042,0.5,0.5
bot->ton,49,XGBoost,0.5950493581217439,0.6601391941903715,0.6533329199033799,0.9999479626772851,0.55692,0.6331787162434878,0.08471264690160751,0.5,1.7,0.5313691625839062,0.6536366897660874,0.5
bot->ton,49,MLP(16),0.703546546201946,0.7075752914439001,0.6000729866557379,0.9997035982226442,0.48216,0.9249330924038921,0.9248901454784697,0.5,3.2,0.4922584609079563,0.7022243174804245,0.5
bot->ton,50,"KAN(cat,1L)",0.6922856045279832,0.8330136765335967,0.854284454835044,0.999449828373526,0.96654,0.4180312090559664,-1.8759730348953818,0.0,3.2,0.5551492585831114,0.5151861333929447,0.5346184200493036
bot->ton,50,"KAN(cat,ML)",0.6732814320398899,0.739491471842924,0.7733746147302274,0.999948314280817,0.81124,0.5353228640797799,-2.019591808319092,0.0,22.0,0.5365813151766919,0.5,0.5
